ASO_G0224597_05	1788	894	988	481	0.9004666	0.34656
ASO_G0224577_AD_05	5640	2820	1706	875	0.1062824	0.18629
ASO_G0224597_06	2894	1447	1316	658	0.514889	0.25098
ASO_G0225377_AD_05	722	361	73	38	0.4025791	0.65558
ASO_G0224597_AD_04	6310	3155	3813	1936	0.06769676	0.16827
ASO_G0225470_05	1468	734	13	2	0.9983552	0.54178
ASO_G0225470_AD_04	1232	616	25	11	0.7902223	0.80668
ASO_G0225554_02	1458	729	467	234	0.5	0.14911
ASO_G0225554_AD_04	576	288	152	81	0.1974499	0.11238
ASO_G0225439_06	8240	4120	3291	1692	0.01925402	0.01049
ASO_G0225554_AD_06	740	370	218	103	0.8527598	0.93605
ASO_G0225733_03	3290	1645	800	399	0.5485158	0.76886
ASO_G0225733_04	4500	2250	1410	748	0.003145069	0.03672
ASO_G0225733_AD_03	5458	2729	1960	1053	2.133847e-05	0.00217
ASO_G0225791_05	1074	537	574	292	0.2909786	0.40553
ASO_G0225733_AD_06	3530	1765	1234	674	3.295535e-05	0.00034
ASO_G0225791_AD_05	2118	1059	1188	611	0.07423874	0.09721
ASO_G0225973_AD_01	3786	1893	64	30	0.7356049	0.14908
ASO_G0226823_03	3392	1696	318	173	0.05580516	0.36955
ASO_G0226823_08	1344	672	151	87	0.02855723	0.10646
ASO_G0226950_02	2432	1216	493	259	0.1130234	0.2079
ASO_G0225973_10	14518	7259	252	134	0.1702467	0.00508
ASO_G0226950_05	3066	1533	778	423	0.002702981	0.01117
ASO_G0226950_04	8732	4366	2271	1263	2.802167e-10	0.0
ASO_G0226950_AD_07	3546	1773	816	414	0.330386	0.28149
ASO_G0227036_AD_07	954	477	228	114	0.5302508	0.46875
ASO_G0227036_04	5108	2554	1368	692	0.3177702	0.37351
ASO_G0227811_06	2514	1257	1166	571	0.8413048	0.59814
ASO_G0227053_04	4898	2449	1648	804	0.8924897	0.85776
ASO_G0228109_06	4604	2302	1389	757	3.397044e-05	7e-05
ASO_G0227053_03	12624	6312	4286	2043	0.999921	0.99953
ASO_G0228109_07	7020	3510	2169	1124	0.0219598	0.01246
ASO_G0229043_07		
ASO_G0228288_01	3026	1513	1102	589	0.002297833	0.01117
ASO_G0228526_10	1980	990	744	361	0.8570715	0.71992
ASO_G0229043_AD_04	1614	807	549	303	0.001620299	0.00159
ASO_G0229647_AD_09	1150	575	232	115	0.5872194	0.98453
ASO_G0229647_06	1860	930	377	176	0.9331814	0.97555
ASO_G0229847_01	2422	1211	1483	731	0.8205582	0.08767
ASO_G0229847_03	2474	1237	1448	720	0.6432864	0.89216
ASO_G0229847_AD_04		
ASO_G0229847_AD_02	5754	2877	4195	2160	0.0001168784	0.0
ASO_G0229852_05	1958	979	27	10	0.9402476	0.83913
ASO_G0229852_AD_01	1820	910	21	9	0.8097398	0.9039
ASO_G0229852_03	6860	3430	97	40	0.9674363	0.99782
ASO_G0230074_07	3202	1601	537	222	0.9999958	0.99993
ASO_G0230082_01	2394	1197	132	73	0.1221556	0.032
ASO_G0230417_02	1696	848	155	72	0.8440354	0.70193
ASO_G0230417_01	5710	2855	505	246	0.7429486	0.30721
ASO_G0230074_05	13802	6901	2506	1184	0.9989291	0.99878
